eruptions,waiting
3.600,79
1.800,54
3.333,74
2.283,62
4.533,85
2.883,55
4.700,88
3.600,85
1.950,51
4.350,85
1.833,54
3.917,84
4.200,78
1.750,47
4.700,83
2.167,52
1.750,62
4.800,84
1.600,52
4.250,79
1.800,51
1.750,47
3.450,78
3.067,69
4.533,74
3.600,83
1.967,55
4.083,76
3.850,78
4.433,79
4.300,73
4.467,77
3.367,66
4.033,80
3.833,74
2.017,52
1.867,48
4.833,80
1.833,59
4.783,90
4.350,80
1.883,58
4.567,84
1.750,47
4.533,78
3.317,74
3.833,73
2.100,53
4.633,86
2.000,49
4.800,87
4.716,81
1.833,48
4.833,84
1.733,49
4.883,91
3.717,78
1.667,54
4.567,81
4.317,71
2.233,50
4.500,73
1.750,61
4.800,81
1.817,48
4.400,86
4.167,76
4.700,81
2.067,48
4.700,82
4.033,75
1.967,50
4.500,73
1.983,48
2.817,60
3.683,73
4.217,83
2.533,53
4.500,82
2.417,59
4.550,83
1.617,50
4.200,56
1.417,49
3.600,81
4.450,74
3.700,80
4.350,75
2.050,56
4.400,74
4.167,69
3.200,81
